Nombre de Actividad,Ciudad,Categoría,Tiempo estimado,Descripción,Descripción amplia,
Grand Palace (Bangkok) / Wat Phra Kaew,Bangkok,Templo / Histórico,3–4 h,Complejo real + templo más sagrado,"La visita “grande” de Bangkok: patios, salones, detalles dorados, y el templo del Buda Esmeralda. Ideal ir temprano para evitar calor y multitudes. Código de vestimenta estricto (hombros/rodillas).",
Wat Pho,Bangkok,Templo,1.5–2 h,Buda reclinado + patios y estupas,"Muy disfrutable y caminable. Además de la estatua, el complejo tiene rincones tranquilos y arquitectura preciosa. Excelente para combinar con Gran Palacio el mismo día.",
Wat Arun,Bangkok,Templo / Mirador,1–1.5 h,Ícono junto al río + mejores fotos,Subir a los niveles permitidos da vistas del río. Recomendación: ir por la tarde para luz linda y cruzar en ferry desde la zona Wat Pho/Tha Tien.,
Wat Paknam Bhasicharoen,Bangkok,Templo,1.5–2 h,Templo menos turístico + gran Buda,"Buena opción “distinta” para escapar de lo mainstream. Tiene una gran estatua visible desde lejos y un complejo amplio. Más local, menos colas.",
Wat Saket,Bangkok,Templo / Mirador,1–1.5 h,Golden Mount con vista 360°,Subida corta (escalinatas) con campanas y miradores. Gran plan al atardecer si querés vistas sin tanta logística.,
Wat Traimit,Bangkok,Templo,45–75 min,Buda de oro + entrada a Chinatown,Perfecto como “puerta de entrada” a Yaowarat: vas al templo y después caminás/comes por Chinatown.,
Wat Samphran,Nakhon Pathom (excursión desde Bangkok),Templo / Excursión,4–6 h total,Templo del “dragón” (muy Instagram),No está en Bangkok ciudad: es una salida. El highlight es la torre “abraçada” por el dragón. Mejor ir temprano y con auto/tour por comodidad. (Horarios típicos 6–18h). (Thailandee.com),
Mahanakhon SkyWalk,Bangkok,Mirador,1.5–2.5 h,"Vidrio + rooftop, ideal sunset","De los mejores miradores: ascensor rápido, observatorio y terraza. Si vas a sunset, contá más tiempo por colas y fotos. Abre aprox. 10:00–19:00 (último ingreso 18:30). (KING POWER MAHANAKHON)",
Tichuca Rooftop Bar,Bangkok,Rooftop / Coctelería,1.5–2.5 h,Rooftop “árbol” luminoso,Muy popular: se llena y suele haber fila. Plan perfecto para sunset + 1 trago/2 tragos. Ubicado en T-One Building (Sukhumvit). (TICHUCA),
Red Sky Bar,Bangkok,Rooftop / Coctelería,1.5–2.5 h,Rooftop céntrico con vista 360,Muy buena opción si estás por CentralWorld. Abre aprox. 16:00–01:00 (según día). (centarahotelsresorts.com),
Sirocco,Bangkok,Rooftop / Cena,2–3 h,Cena/tragos “movie vibe”,"Es caro y “de ocasión”, pero la vista es top y es clásico. Está en State Tower (zona Silom/Bang Rak). (lebua Hotels & Resorts)",
Ojo Bangkok,Bangkok,Rooftop / Gastronomía,2–3 h,Restaurante rooftop mexicano (76° piso),Plan premium: ir para cena o cócteles con vista total. Ubicado en el King Power Mahanakhon; abre en turnos (almuerzo y tarde/noche). (Thailandmagazine),
