id,Nombre,Tipo,Horario,Ciudad,Tiempo,Esfuerzo,Costo,Descripción,Detalle,NotaIA,LATLON,Image
th001,% Arabica (Empire Tower),Comida,Tarde,Bangkok,1h,Bajo,150 THB+,Café minimalista con vista infinita desde el piso 55.,Ofrece una de las vistas urbanas más espectaculares de Bangkok sin pagar la entrada de un rooftop.,El café es de especialidad y el diseño del local es totalmente blanco.,"13.7215, 100.5298",Link
th002,100 Shop (Jodd Fairs),Compras,Mañana,Bangkok,1h,Bajo,100 THB,Tienda de ropa donde (casi) todo cuesta 3€ / 100 Bahts.,"Camisetas básicas, tops y faldas por precios bajísimos. Calidad decente para el precio.",Ubicada dentro del mercado nocturno Jodd Fairs.,"13.7544, 100.5663",Link
th003,Aether Rooftop (Dusit Central Park),Visita,Noche,Bangkok,2h,Bajo,Gratis (entrada),Nueva azotea 360° con vistas espectaculares de la ciudad.,"Ubicado en el piso 44 de Dusit Central Park. Entrada gratuita, ideal para tomar un cóctel al atardecer.","Es un spot muy nuevo y viral, ve con ropa casual-elegante para asegurar el acceso.","13.7291, 100.5375",Link
th120,After The Rain Coffee & Gallery,Comida,Mañana-tarde,Bangkok (Nakhon Pathom),1.5-2h,Bajo,Variable,Café con laguna/jardín y botes (escapada cerca de BKK).,Llegar temprano para evitar filas. Ideal para desayuno/brunch + fotos. Se puede combinar con mercados de Nakhon Pathom.,Fuente: video (reels). Coords web.,"13.7833337, 100.2692047",
th004,Airport Rail Link,Transporte,Mañana,Bangkok,45m,Bajo,45 THB,El tren que conecta el aeropuerto Suvarnabhumi con el centro.,Se encuentra en el sótano (Planta B). Es la forma más rápida de evitar el tráfico. Llega hasta Phaya Thai.,"Al comprar el ticket te dan un ""token"" (moneda roja) que debes guardar hasta el final.","13.6899, 100.7501",Link
th005,Alerta MSG (Phong Churot),Consejo,Da Igual,Comida,-,Bajo,-,"El ""truco"" secreto por el que la comida sabe tan bien.","Los locales añaden mucho MSG a los platos. Si quieres evitarlo di: ""Mai sai phong chu rot"".",Puede causar hinchazón o sed excesiva si no estás acostumbrado.,-,Link
th006,Amaranth Spa (Kimpton),Spa,Da Igual,Bangkok,1.5h,Bajo,3000 THB+,Spa boutique de diseño en hotel de lujo.,Dentro del hotel Kimpton Maa-Lai. Tratamientos sofisticados y entorno muy moderno.,"Es una experiencia ""high-end"", menos tradicional y más sensorial.","13.7391, 100.5430",Link
th132,Amphawa Floating Market + Fireflies (tarde/noche),Mercado,Tarde/Noche,Bangkok (excursión),4h,Bajo,60–150 THB (paseo en barco; aprox.),Mercado flotante por la tarde + paseo en lancha al atardecer para ver luciérnagas.,"Ubicación: Amphawa, Samut Songkhram. Mejor ir viernes a domingo (tarde). Paseo de luciérnagas suele salir ~18:00 y dura ~45–60 min. Tip: llevar repelente; no usar flash para no molestar; si vas desde Bangkok, considerar traslados (1.5–2h por tramo).",Las luciérnagas son sensibles: evitá flashes y ruidos fuertes; preferí operadores locales que respeten distancia y velocidad baja.,"13.4244, 99.9544",Link
th007,Antique Massage CM,Spa,Da Igual,Chiang Mai,1.5h,Bajo,500 THB,Masaje tradicional en ambiente histórico.,Excelente relación calidad/precio. Famoso por su técnica de masaje tailandés profundo.,Suele estar muy solicitado; reservar el mismo día por la mañana.,"18.7885, 98.9850",Link
th008,App Bolt,Consejo,Mañana,Tailandia,-,Bajo,Económico,Aplicación de transporte similar a Uber pero más barata.,Bolt es más barata que Grab en Tailandia. Pide moto-taxi si hay mucho tráfico.,Grab permite pago con tarjeta; Bolt suele ser efectivo (cash).,"13.7563, 100.5018",Link
th009,App MuvMi,Consejo,Mañana,Bangkok,10m,Bajo,Económico,Tuk-Tuks eléctricos compartidos con precio fijo por App.,No te pueden estafar porque el precio sale en la app. Tiene paradas fijas.,Funciona genial para distancias cortas dentro de barrios turísticos.,"13.7563, 100.5018",Link
th010,Asiatique The Riverfront,Visita,Tarde/Noche,Bangkok,2-3 hs,Bajo,Gratis,"Mercado/riverfront con restaurantes, compras y paseo nocturno a orillas del río.",Mejor después de las 17:00. Se llega fácil en ferry desde BTS Saphan Taksin (según operación).,Buen lugar para cenar y caminar sin el caos de mercados callejeros.,-,Link
th011,Baan Thai Cookery School,Gastronomía,,Chiang Mai,5h,Bajo,1200 THB,Escuela de cocina en grupos reducidos.,Clases prácticas en una casa tradicional. Enfoque en platos del norte (Khao Soi).,Aprenderás a hacer la pasta de curry desde cero.,"18.7834, 98.9912",Link
th012,Baandam Museum (Casa Negra),Visita,Da Igual,Chiang Rai,1.5h,Bajo,80 THB,Conjunto de casas oscuras con arte macabro.,"Obra de Thawan Duchanee. Decoración con pieles, huesos y maderas talladas.",Es el contrapunto artístico al Templo Blanco.,"19.9920, 99.8601",Link
