Nombre,Tipo,Horario,Ciudad,Tiempo,Esfuerzo,Costo,Descripción,Detalle,NotaIA,LATLON,Image
% Arabica (Empire Tower),Comida,Tarde,Bangkok,1h,Bajo,150 THB+,Café minimalista con vista infinita desde el piso 55.,Ofrece una de las vistas urbanas más espectaculares de Bangkok sin pagar la entrada de un rooftop.,El café es de especialidad y el diseño del local es totalmente blanco.,"13.7215, 100.5298",Link
100 Shop (Jodd Fairs),Compras,Mañana,Bangkok,1h,Bajo,100 THB,Tienda de ropa donde (casi) todo cuesta 3€ / 100 Bahts.,"Camisetas básicas, tops y faldas por precios bajísimos. Calidad decente para el precio.",Ubicada dentro del mercado nocturno Jodd Fairs.,"13.7544, 100.5663",Link
Aether Rooftop (Dusit Central Park),Visita,Noche,Bangkok,2h,Bajo,Gratis (entrada),Nueva azotea 360° con vistas espectaculares de la ciudad.,"Ubicado en el piso 44 de Dusit Central Park. Entrada gratuita, ideal para tomar un cóctel al atardecer.","Es un spot muy nuevo y viral, ve con ropa casual-elegante para asegurar el acceso.","13.7291, 100.5375",Link
Airport Rail Link,Transporte,Mañana,Bangkok,45m,Bajo,45 THB,El tren que conecta el aeropuerto Suvarnabhumi con el centro.,Se encuentra en el sótano (Planta B). Es la forma más rápida de evitar el tráfico. Llega hasta Phaya Thai.,"Al comprar el ticket te dan un ""token"" (moneda roja) que debes guardar hasta el final.","13.6899, 100.7501",Link
Alerta MSG (Phong Churot),Consejo,Da Igual,Comida,-,Bajo,-,"El ""truco"" secreto por el que la comida sabe tan bien.","Los locales añaden mucho MSG a los platos. Si quieres evitarlo di: ""Mai sai phong chu rot"".",Puede causar hinchazón o sed excesiva si no estás acostumbrado.,-,Link
Amaranth Spa (Kimpton),Spa,Da Igual,Bangkok,1.5h,Bajo,3000 THB+,Spa boutique de diseño en hotel de lujo.,Dentro del hotel Kimpton Maa-Lai. Tratamientos sofisticados y entorno muy moderno.,"Es una experiencia ""high-end"", menos tradicional y más sensorial.","13.7391, 100.5430",Link
Antique Massage CM,Spa,Da Igual,Chiang Mai,1.5h,Bajo,500 THB,Masaje tradicional en ambiente histórico.,Excelente relación calidad/precio. Famoso por su técnica de masaje tailandés profundo.,Suele estar muy solicitado; reservar el mismo día por la mañana.,"18.7885, 98.9850",Link
App Bolt,Consejo,Mañana,Tailandia,-,Bajo,Económico,Aplicación de transporte similar a Uber pero más barata.,Bolt es más barata que Grab en Tailandia. Pide moto-taxi si hay mucho tráfico.,Grab permite pago con tarjeta; Bolt suele ser efectivo (cash).,"13.7563, 100.5018",Link
App MuvMi,Consejo,Mañana,Bangkok,10m,Bajo,Económico,Tuk-Tuks eléctricos compartidos con precio fijo por App.,No te pueden estafar porque el precio sale en la app. Tiene paradas fijas.,Funciona genial para distancias cortas dentro de barrios turísticos.,"13.7563, 100.5018",Link
Asiatique The Riverfront,Visita,Tarde/Noche,Bangkok,2-3 hs,Bajo,Gratis,"Mercado/riverfront con restaurantes, compras y paseo nocturno a orillas del río.",Mejor después de las 17:00. Se llega fácil en ferry desde BTS Saphan Taksin (según operación).,Buen lugar para cenar y caminar sin el caos de mercados callejeros.,-,Link
Baan Thai Cookery School,Gastronomía,,Chiang Mai,5h,Bajo,1200 THB,Escuela de cocina en grupos reducidos.,Clases prácticas en una casa tradicional. Enfoque en platos del norte (Khao Soi).,Aprenderás a hacer la pasta de curry desde cero.,"18.7834, 98.9912",Link
Baandam Museum (Casa Negra),Visita,Da Igual,Chiang Rai,1.5h,Bajo,80 THB,Conjunto de casas oscuras con arte macabro.,"Obra de Thawan Duchanee. Decoración con pieles, huesos y maderas talladas.",Es el contrapunto artístico al Templo Blanco.,"19.9920, 99.8601",Link
Bahía de Phang Nga (Kayak),Visita,Mañana,Phuket / Krabi,8h,Medio,2500 THB,Paisaje de formaciones calizas y cuevas marinas.,Se visita en lanchas rápidas. El punto icónico es la isla de James Bond. Se recomienda el kayak para entrar en lagunas internas.,Ideal ir temprano para evitar los cientos de barcos que llegan al mediodía.,"8.2439, 98.5060",Link
Bami Jae Hua,Comida,Da Igual,Chiang Mai,1h,Bajo,80-150 THB,Noodles chinos famosos y Gyozas de queso.,Especialidad en noodles estirados a mano y dumplings virales.,"Ubicado en la zona gastronómica de Chiang Mai, ideal para cenar informal.","18.7885, 98.9850",Link
Barco Público (Orange Flag),Transporte,Mañana,Bangkok,30-60m,Bajo,16 THB,La forma más barata y escénica de moverte por el río.,Busca siempre la bandera naranja. Conecta los principales templos y muelles.,Es mucho más barato que el barco azul (Tourist Boat) que cuesta 150 THB.,"13.7194, 100.5126",Link
Big Buddha Samui,Visita,Da Igual,Koh Samui,1h,Bajo,Gratis,Estatua dorada de 12m visible desde el aire.,Situada en una pequeña isla conectada por una calzada. Gran vista de la costa norte.,Evita ir al mediodía; el suelo quema mucho (se entra descalzo).,"9.5707, 100.0604",Link
BKK Thai Cooking Academy,Gastronomía,Da Igual,Bangkok,4h,Bajo,1500 THB,Clase de cocina con visita al mercado local.,Incluye tour por mercado para elegir ingredientes y preparación de 4-5 platos.,Te dan un recetario digital al finalizar.,"13.7065, 100.6015",Link
